full_address,estimate_date,estimate_value,estimate_range,link
"28A Bannister Avenue, Johnsonville, Wellington",1/01/1970,$855K,$795K - $915K,https://www.homes.co.nz/address/wellington/johnsonville/28a-bannister-avenue/Bl4Q4
"34E Bould Street, Johnsonville, Wellington",1/01/1970,$755K,$715K - $795K,https://www.homes.co.nz/address/wellington/johnsonville/34e-bould-street/B4EG7
"19A Woodland Road, Johnsonville, Wellington",22/06/2020,$810K,$765K - $855K,https://www.homes.co.nz/address/wellington/johnsonville/19a-woodland-road/W45nL
"25 Kipling Street, Johnsonville, Wellington",13/11/2019,$1.03M,$960K - $1.1M,https://www.homes.co.nz/address/wellington/johnsonville/25-kipling-street/9Y9rb
"44 Kipling Street, Johnsonville, Wellington",16/06/2010,$950K,$885K - $1.02M,https://www.homes.co.nz/address/wellington/johnsonville/44-kipling-street/Blb1Y
"11 Kipling Street, Johnsonville, Wellington",16/10/2018,$1.02M,$945K - $1.09M,https://www.homes.co.nz/address/wellington/johnsonville/11-kipling-street/84pVj
"2 Stephen Street, Johnsonville  6037, Wellington",1/01/1970,$1.1M,$1.02M - $1.17M,https://www.homes.co.nz/address/wellington/johnsonville--6037/2-stephen-street/rXRr1
"77 Broderick Road, Johnsonville, Wellington",29/08/2006,$1.02M,$945K - $1.09M,https://www.homes.co.nz/address/wellington/johnsonville/77-broderick-road/4EBEM
"11 Chapman Street, Johnsonville, Wellington",7/03/2006,$930K,$865K - $995K,https://www.homes.co.nz/address/wellington/johnsonville/11-chapman-street/2E08K
"9A Swinford Crescent, Johnsonville, Wellington",28/09/2000,$1.01M,$940K - $1.08M,https://www.homes.co.nz/address/wellington/johnsonville/9a-swinford-crescent/E0XLG
"3A Hawtrey Terrace, Johnsonville, Wellington",21/01/2014,$1M,$935K - $1.07M,https://www.homes.co.nz/address/wellington/johnsonville/3a-hawtrey-terrace/X422Y
"65A Clifford Road, Johnsonville, Wellington",11/02/2021,$950K,$890K - $1M,https://www.homes.co.nz/address/wellington/johnsonville/65a-clifford-road/15bDp
"14 Tolhurst Street, Johnsonville, Wellington",18/05/2018,$1.26M,$1.17M - $1.35M,https://www.homes.co.nz/address/wellington/johnsonville/14-tolhurst-street/GkqGk
"12 Fraser Avenue, Johnsonville, Wellington",31/07/2012,$1.3M,$1.21M - $1.39M,https://www.homes.co.nz/address/wellington/johnsonville/12-fraser-avenue/bLDyY
"2/25 Kitchener Terrace, Johnsonville, Wellington",1/01/1970,$655K,$620K - $695K,https://www.homes.co.nz/address/wellington/johnsonville/2-25-kitchener-terrace/o0LYg
