WKT,address_id,change_id,address_type,unit_value,address_number,address_number_suffix,address_number_high,water_route_name,water_name,suburb_locality,town_city,full_address_number,full_road_name,full_address,road_section_id,gd2000_xcoord,gd2000_ycoord,water_route_name_ascii,water_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (174.7980568833 -41.2269651833),375958,1579549,Road,,14,A,,,,Johnsonville,Wellington,14A,Atua Street,"14A Atua Street, Johnsonville, Wellington",85212,174.79805688,-41.22696518,,,Johnsonville,Wellington,Atua Street,"14A Atua Street, Johnsonville, Wellington",174.7980568833,-41.2269651833
POINT (174.80457585 -41.2337733),376026,334162,Road,,1,,,,,Johnsonville,Wellington,1,Plumer Street,"1 Plumer Street, Johnsonville, Wellington",83965,174.80457585,-41.23377330,,,Johnsonville,Wellington,Plumer Street,"1 Plumer Street, Johnsonville, Wellington",174.80457585,-41.2337733
POINT (174.8035246 -41.2268638167),376151,1579580,Road,,34,B,,,,Johnsonville,Wellington,34B,Bould Street,"34B Bould Street, Johnsonville, Wellington",93840,174.80352460,-41.22686382,,,Johnsonville,Wellington,Bould Street,"34B Bould Street, Johnsonville, Wellington",174.8035246,-41.2268638167
POINT (174.795125 -41.2267215167),376157,334257,Road,,34,,,,,Johnsonville,Wellington,34,Truscott Avenue,"34 Truscott Avenue, Johnsonville, Wellington",77179,174.79512500,-41.22672152,,,Johnsonville,Wellington,Truscott Avenue,"34 Truscott Avenue, Johnsonville, Wellington",174.795125,-41.2267215167
POINT (174.7987776833 -41.2260589167),376320,334393,Road,,5,,,,,Johnsonville,Wellington,5,Rudyard Crescent,"5 Rudyard Crescent, Johnsonville, Wellington",73818,174.79877768,-41.22605892,,,Johnsonville,Wellington,Rudyard Crescent,"5 Rudyard Crescent, Johnsonville, Wellington",174.7987776833,-41.2260589167
POINT (174.8045806667 -41.2251634167),376383,334452,Road,,6,,,,,Johnsonville,Wellington,6,Bould Street,"6 Bould Street, Johnsonville, Wellington",92026,174.80458067,-41.22516342,,,Johnsonville,Wellington,Bould Street,"6 Bould Street, Johnsonville, Wellington",174.8045806667,-41.2251634167
POINT (174.8029209333 -41.2256682),376392,334461,Road,,71,,,,,Johnsonville,Wellington,71,Moorefield Road,"71 Moorefield Road, Johnsonville, Wellington",76265,174.80292093,-41.22566820,,,Johnsonville,Wellington,Moorefield Road,"71 Moorefield Road, Johnsonville, Wellington",174.8029209333,-41.2256682
POINT (174.8065281333 -41.2217294),381637,339251,Road,,24,,,,,Johnsonville,Wellington,24,Moorefield Road,"24 Moorefield Road, Johnsonville, Wellington",95621,174.80652813,-41.22172940,,,Johnsonville,Wellington,Moorefield Road,"24 Moorefield Road, Johnsonville, Wellington",174.8065281333,-41.2217294
POINT (174.8097228 -41.2164184167),381926,339507,Road,,69,,,,,Johnsonville,Wellington,69,Middleton Road,"69 Middleton Road, Johnsonville, Wellington",80092,174.80972280,-41.21641842,,,Johnsonville,Wellington,Middleton Road,"69 Middleton Road, Johnsonville, Wellington",174.8097228,-41.2164184167
POINT (174.8067218833 -41.2310858667),382124,339688,Road,,13,,,,,Johnsonville,Wellington,13,Dominion Park Street,"13 Dominion Park Street, Johnsonville, Wellington",70595,174.80672188,-41.23108587,,,Johnsonville,Wellington,Dominion Park Street,"13 Dominion Park Street, Johnsonville, Wellington",174.8067218833,-41.2310858667
POINT (174.8101436833 -41.2151312833),1326320,1659348,Road,,77,B,,,,Johnsonville,Wellington,77B,Bassett Road,"77B Bassett Road, Johnsonville, Wellington",80179,174.81014368,-41.21513128,,,Johnsonville,Wellington,Bassett Road,"77B Bassett Road, Johnsonville, Wellington",174.8101436833,-41.2151312833
POINT (174.7937969167 -41.2270372667),369294,1579136,Road,,52,B,,,,Johnsonville,Wellington,52B,Truscott Avenue,"52B Truscott Avenue, Johnsonville, Wellington",77179,174.79379692,-41.22703727,,,Johnsonville,Wellington,Truscott Avenue,"52B Truscott Avenue, Johnsonville, Wellington",174.7937969167,-41.2270372667
POINT (174.8043581667 -41.23298655),1677275,1717330,Road,,59,C,,,,Johnsonville,Wellington,59C,Tarawera Road,"59C Tarawera Road, Johnsonville, Wellington",79441,174.80435817,-41.23298655,,,Johnsonville,Wellington,Tarawera Road,"59C Tarawera Road, Johnsonville, Wellington",174.8043581667,-41.23298655
POINT (174.79848025 -41.2178029333),375081,333310,Road,,12,,,,,Johnsonville,Wellington,12,Glenamoy Crescent,"12 Glenamoy Crescent, Johnsonville, Wellington",84563,174.79848025,-41.21780293,,,Johnsonville,Wellington,Glenamoy Crescent,"12 Glenamoy Crescent, Johnsonville, Wellington",174.79848025,-41.2178029333
POINT (174.7983320167 -41.2157219667),375120,333348,Road,,143,,,,,Johnsonville,Wellington,143,Ohariu Road,"143 Ohariu Road, Johnsonville, Wellington",352908,174.79833202,-41.21572197,,,Johnsonville,Wellington,Ohariu Road,"143 Ohariu Road, Johnsonville, Wellington",174.7983320167,-41.2157219667
POINT (174.8046042 -41.2223982833),375158,333386,Road,,15,,,,,Johnsonville,Wellington,15,Frankmoore Avenue,"15 Frankmoore Avenue, Johnsonville, Wellington",95613,174.80460420,-41.22239828,,,Johnsonville,Wellington,Frankmoore Avenue,"15 Frankmoore Avenue, Johnsonville, Wellington",174.8046042,-41.2223982833
POINT (174.8001261667 -41.22183375),375465,333658,Road,,3,,,,,Johnsonville,Wellington,3,Prospect Terrace,"3 Prospect Terrace, Johnsonville, Wellington",88867,174.80012617,-41.22183375,,,Johnsonville,Wellington,Prospect Terrace,"3 Prospect Terrace, Johnsonville, Wellington",174.8001261667,-41.22183375
POINT (174.7951398333 -41.2301520333),375973,334121,Road,,15,,,,,Johnsonville,Wellington,15,Arapiko Street,"15 Arapiko Street, Johnsonville, Wellington",73219,174.79513983,-41.23015203,,,Johnsonville,Wellington,Arapiko Street,"15 Arapiko Street, Johnsonville, Wellington",174.7951398333,-41.2301520333
POINT (174.79758835 -41.22642865),376093,334214,Road,,27,,,,,Johnsonville,Wellington,27,Kipling Street,"27 Kipling Street, Johnsonville, Wellington",82407,174.79758835,-41.22642865,,,Johnsonville,Wellington,Kipling Street,"27 Kipling Street, Johnsonville, Wellington",174.79758835,-41.22642865
POINT (174.79869295 -41.22597725),376184,334281,Road,,3,,,,,Johnsonville,Wellington,3,Rudyard Crescent,"3 Rudyard Crescent, Johnsonville, Wellington",73818,174.79869295,-41.22597725,,,Johnsonville,Wellington,Rudyard Crescent,"3 Rudyard Crescent, Johnsonville, Wellington",174.79869295,-41.22597725
