full_address,estimate_date,estimate_value,estimate_range,link
"3 Anchor Lane, Whitby, Porirua",22/01/2014,$1.11M,$1.05M - $1.17M,https://www.homes.co.nz/address/porirua/whitby/3-anchor-lane/Ao4eQ
"36 Endeavour Drive, Whitby, Porirua",1/11/2005,$1.16M,$1.09M - $1.22M,https://www.homes.co.nz/address/porirua/whitby/36-endeavour-drive/B8EG4
"2 Spritsail Place, Whitby, Porirua",19/12/2017,$1.09M,$1.03M - $1.15M,https://www.homes.co.nz/address/porirua/whitby/2-spritsail-place/XlEZB
"90 Endeavour Drive, Whitby, Porirua",11/06/2019,$1.59M,$1.5M - $1.68M,https://www.homes.co.nz/address/porirua/whitby/90-endeavour-drive/DDoQ0
"16 Longitude Place, Whitby, Porirua",10/10/2019,$880K,$830K - $925K,https://www.homes.co.nz/address/porirua/whitby/16-longitude-place/0kM1Q
"98 Ayton Drive, Whitby, Porirua",1/07/2015,$995K,$940K - $1.05M,https://www.homes.co.nz/address/porirua/whitby/98-ayton-drive/QYKrV
"22 The Sounding, Whitby, Porirua",18/01/2010,$930K,$875K - $980K,https://www.homes.co.nz/address/porirua/whitby/22-the-sounding/nKz7y
"42B James Cook Drive, Whitby, Porirua",24/05/2005,$965K,$945K - $985K,https://www.homes.co.nz/address/porirua/whitby/42b-james-cook-drive/5Y1EK
"76 Ayton Drive, Whitby, Porirua",26/08/2016,$1.01M,$950K - $1.06M,https://www.homes.co.nz/address/porirua/whitby/76-ayton-drive/EqY7K
"138 Endeavour Drive, Whitby, Porirua",26/03/2015,$1.42M,$1.34M - $1.5M,https://www.homes.co.nz/address/porirua/whitby/138-endeavour-drive/eZwLx
"15A Resolution Drive, Whitby, Porirua",31/08/2014,$960K,$940K - $985K,https://www.homes.co.nz/address/porirua/whitby/15a-resolution-drive/MwGG1
"29 Pacific View, Whitby, Porirua",12/12/2017,$1.76M,$1.66M - $1.86M,https://www.homes.co.nz/address/porirua/whitby/29-pacific-view/jGeZx
"89 Endeavour Drive, Whitby, Porirua",22/10/2020,$1.74M,$1.65M - $1.84M,https://www.homes.co.nz/address/porirua/whitby/89-endeavour-drive/vveJ9
"14 Flotilla Place, Whitby, Porirua",12/12/2018,$1.31M,$1.24M - $1.39M,https://www.homes.co.nz/address/porirua/whitby/14-flotilla-place/q5wp4
"41 Staithes Drive North, Whitby, Porirua",15/04/2013,$1.02M,$960K - $1.07M,https://www.homes.co.nz/address/porirua/whitby/41-staithes-drive-north/0MyzR
"8 Cedar Court, Whitby, Porirua",24/03/2003,$870K,$850K - $890K,https://www.homes.co.nz/address/porirua/whitby/8-cedar-court/kGZKv
"2C Observatory Close, Whitby, Porirua",29/04/2019,$1.14M,$1.08M - $1.21M,https://www.homes.co.nz/address/porirua/whitby/2c-observatory-close/rpxLY
"15 Resolution Drive, Whitby, Porirua",23/02/2017,$1M,$975K - $1.02M,https://www.homes.co.nz/address/porirua/whitby/15-resolution-drive/z7V1z
"51 Spyglass Lane, Whitby, Porirua",25/02/2017,$1.39M,$1.31M - $1.46M,https://www.homes.co.nz/address/porirua/whitby/51-spyglass-lane/MYWDe
"11 Banks Boulevard, Whitby, Porirua",9/12/2019,$1.1M,$1.04M - $1.16M,https://www.homes.co.nz/address/porirua/whitby/11-banks-boulevard/MGLVe
"5 The Pier, Whitby, Porirua",9/09/2018,$1.32M,$1.25M - $1.39M,https://www.homes.co.nz/address/porirua/whitby/5-the-pier/X9j80
"22 Pacific View, Whitby, Porirua",6/09/2013,$1.31M,$1.24M - $1.39M,https://www.homes.co.nz/address/porirua/whitby/22-pacific-view/NeaE5
"131A Endeavour Drive, Whitby, Porirua",26/09/2014,$1.45M,$1.37M - $1.53M,https://www.homes.co.nz/address/porirua/whitby/131a-endeavour-drive/MagE1
"13 Endeavour Drive, Whitby, Porirua",17/11/2019,$1.37M,$1.29M - $1.44M,https://www.homes.co.nz/address/porirua/whitby/13-endeavour-drive/ejoqX
"154 Endeavour Drive, Whitby, Porirua",10/12/2018,$1.34M,$1.27M - $1.42M,https://www.homes.co.nz/address/porirua/whitby/154-endeavour-drive/zZQJR
"21 Flotilla Place, Whitby, Porirua",17/10/2011,$1.79M,$1.69M - $1.89M,https://www.homes.co.nz/address/porirua/whitby/21-flotilla-place/5r0qa
"15 Semaphore Lane, Whitby, Porirua",16/06/2014,$1.61M,$1.52M - $1.7M,https://www.homes.co.nz/address/porirua/whitby/15-semaphore-lane/Ek2JO
"21A Latitude Close, Whitby, Porirua",13/06/2014,$970K,$950K - $995K,https://www.homes.co.nz/address/porirua/whitby/21a-latitude-close/05RQR
"11 Botany Lane, Whitby, Porirua",12/04/2018,$1.26M,$1.19M - $1.33M,https://www.homes.co.nz/address/porirua/whitby/11-botany-lane/GgoPr
"4 Woolwich Close, Whitby, Porirua",3/08/2016,$670K,$655K - $685K,https://www.homes.co.nz/address/porirua/whitby/4-woolwich-close/2gAJZ
"114 Endeavour Drive, Whitby, Porirua",8/03/2020,$1.16M,$1.1M - $1.23M,https://www.homes.co.nz/address/porirua/whitby/114-endeavour-drive/DDKLw
"129 Endeavour Drive, Whitby, Porirua",10/02/2021,$1.81M,$1.72M - $1.89M,https://www.homes.co.nz/address/porirua/whitby/129-endeavour-drive/5r0a0
"452A Paremata Road, Whitby, Porirua",12/05/2015,$3.24M,$3.06M - $3.42M,https://www.homes.co.nz/address/porirua/whitby/452a-paremata-road/JxAzQ
"20 Carvel Lane, Whitby, Porirua",1/03/2001,$910K,$860K - $960K,https://www.homes.co.nz/address/porirua/whitby/20-carvel-lane/4LO8Q
"86B Endeavour Drive, Whitby, Porirua",23/12/2014,$245K,$240K - $255K,https://www.homes.co.nz/address/porirua/whitby/86b-endeavour-drive/Xw9QW
"128 Endeavour Drive, Whitby, Porirua",21/01/2016,$1.25M,$1.18M - $1.32M,https://www.homes.co.nz/address/porirua/whitby/128-endeavour-drive/Xw9r0
"92 Ayton Drive, Whitby, Porirua",10/08/2008,$1.06M,$1M - $1.12M,https://www.homes.co.nz/address/porirua/whitby/92-ayton-drive/eZGRL
"10 Botany Lane, Whitby, Porirua",12/06/2015,$1.32M,$1.24M - $1.39M,https://www.homes.co.nz/address/porirua/whitby/10-botany-lane/pypoa
"56 Endeavour Drive, Whitby, Porirua",14/10/2016,$1.34M,$1.26M - $1.41M,https://www.homes.co.nz/address/porirua/whitby/56-endeavour-drive/xKlPP
"27 Moonsail Drive, Whitby, Porirua",13/10/2017,$1M,$945K - $1.06M,https://www.homes.co.nz/address/porirua/whitby/27-moonsail-drive/MbJW1
"21 Moonsail Drive, Whitby, Porirua",26/07/2017,$1M,$945K - $1.06M,https://www.homes.co.nz/address/porirua/whitby/21-moonsail-drive/qDwZ7
"13 Moonsail Drive, Whitby, Porirua",9/04/2016,$1.07M,$1.01M - $1.13M,https://www.homes.co.nz/address/porirua/whitby/13-moonsail-drive/XJBKB
"36 Moonsail Drive, Whitby, Porirua",14/03/2019,$1.07M,$1.01M - $1.13M,https://www.homes.co.nz/address/porirua/whitby/36-moonsail-drive/aM1Kn
"33 Moonsail Drive, Whitby, Porirua",24/07/2016,$1.09M,$1.03M - $1.15M,https://www.homes.co.nz/address/porirua/whitby/33-moonsail-drive/wO1gZ
"32 Moonsail Drive, Whitby, Porirua",14/06/2016,$1.07M,$1.01M - $1.13M,https://www.homes.co.nz/address/porirua/whitby/32-moonsail-drive/W127K
"30 Moonsail Drive, Whitby, Porirua",17/11/2016,$1M,$950K - $1.06M,https://www.homes.co.nz/address/porirua/whitby/30-moonsail-drive/oLYPg
"28 Moonsail Drive, Whitby, Porirua",16/08/2018,$1.07M,$1.01M - $1.13M,https://www.homes.co.nz/address/porirua/whitby/28-moonsail-drive/GJN81
"26 Moonsail Drive, Whitby, Porirua",11/10/2019,$1.14M,$1.08M - $1.2M,https://www.homes.co.nz/address/porirua/whitby/26-moonsail-drive/NJN8M
"24 Moonsail Drive, Whitby, Porirua",13/12/2019,$1.14M,$1.08M - $1.21M,https://www.homes.co.nz/address/porirua/whitby/24-moonsail-drive/LJyKN
"23 Moonsail Drive, Whitby, Porirua",17/05/2016,$1.09M,$1.03M - $1.15M,https://www.homes.co.nz/address/porirua/whitby/23-moonsail-drive/Mbn7n
