WKT,address_id,change_id,address_type,unit_value,address_number,address_number_suffix,address_number_high,water_route_name,water_name,suburb_locality,town_city,full_address_number,full_road_name,full_address,road_section_id,gd2000_xcoord,gd2000_ycoord,water_route_name_ascii,water_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (174.8943657 -41.1223076833),1451645,1265745,Road,,36,,,,,Whitby,Porirua,36,Latitude Close,"36 Latitude Close, Whitby, Porirua",95303,174.89436570,-41.12230768,,,Whitby,Porirua,Latitude Close,"36 Latitude Close, Whitby, Porirua",174.8943657,-41.1223076833
POINT (174.8805295667 -41.1179051667),1451969,1266058,Road,,41,,,,,Whitby,Porirua,41,Omapere Street,"41 Omapere Street, Whitby, Porirua",376980,174.88052957,-41.11790517,,,Whitby,Porirua,Omapere Street,"41 Omapere Street, Whitby, Porirua",174.8805295667,-41.1179051667
POINT (174.8808152833 -41.1153194333),1451981,1266069,Road,,65,,,,,Whitby,Porirua,65,Omapere Street,"65 Omapere Street, Whitby, Porirua",95731,174.88081528,-41.11531943,,,Whitby,Porirua,Omapere Street,"65 Omapere Street, Whitby, Porirua",174.8808152833,-41.1153194333
POINT (174.8799215667 -41.1159476333),1451997,1266081,Road,,11,,,,,Whitby,Porirua,11,Parkinson Close,"11 Parkinson Close, Whitby, Porirua",81062,174.87992157,-41.11594763,,,Whitby,Porirua,Parkinson Close,"11 Parkinson Close, Whitby, Porirua",174.8799215667,-41.1159476333
POINT (174.89749065 -41.1112559),1452092,1266161,Road,,34,,,,,Whitby,Porirua,34,Shackle Lane,"34 Shackle Lane, Whitby, Porirua",97309,174.89749065,-41.11125590,,,Whitby,Porirua,Shackle Lane,"34 Shackle Lane, Whitby, Porirua",174.89749065,-41.1112559
POINT (174.8909396333 -41.1133877167),1452191,1266259,Road,,26,,,,,Whitby,Porirua,26,The Companionway,"26 The Companionway, Whitby, Porirua",72215,174.89093963,-41.11338772,,,Whitby,Porirua,The Companionway,"26 The Companionway, Whitby, Porirua",174.8909396333,-41.1133877167
POINT (174.8860325333 -41.1131561),1452253,1266314,Road,,111,,,,,Whitby,Porirua,111,Spinnaker Drive,"111 Spinnaker Drive, Whitby, Porirua",85576,174.88603253,-41.11315610,,,Whitby,Porirua,Spinnaker Drive,"111 Spinnaker Drive, Whitby, Porirua",174.8860325333,-41.1131561
POINT (174.8880729167 -41.1068413333),1452442,1266498,Road,,24,,,,,Whitby,Porirua,24,The Anchorage,"24 The Anchorage, Whitby, Porirua",98424,174.88807292,-41.10684133,,,Whitby,Porirua,The Anchorage,"24 The Anchorage, Whitby, Porirua",174.8880729167,-41.1068413333
POINT (174.8956286667 -41.1057952333),1452486,1266542,Road,,16,,,,,Whitby,Porirua,16,The Crowsnest,"16 The Crowsnest, Whitby, Porirua",73003,174.89562867,-41.10579523,,,Whitby,Porirua,The Crowsnest,"16 The Crowsnest, Whitby, Porirua",174.8956286667,-41.1057952333
POINT (174.8784033833 -41.1135299333),1452621,1266669,Road,,32,,,,,Whitby,Porirua,32,Thimble Lane,"32 Thimble Lane, Whitby, Porirua",77539,174.87840338,-41.11352993,,,Whitby,Porirua,Thimble Lane,"32 Thimble Lane, Whitby, Porirua",174.8784033833,-41.1135299333
POINT (174.8782909833 -41.1132618167),1452623,1266671,Road,,28,,,,,Whitby,Porirua,28,Thimble Lane,"28 Thimble Lane, Whitby, Porirua",77539,174.87829098,-41.11326182,,,Whitby,Porirua,Thimble Lane,"28 Thimble Lane, Whitby, Porirua",174.8782909833,-41.1132618167
POINT (174.8807196667 -41.1106464833),1452645,1266693,Road,,21,,,,,Whitby,Porirua,21,Woolwich Close,"21 Woolwich Close, Whitby, Porirua",74436,174.88071967,-41.11064648,,,Whitby,Porirua,Woolwich Close,"21 Woolwich Close, Whitby, Porirua",174.8807196667,-41.1106464833
POINT (174.8826980333 -41.1155222833),1452709,1266745,Road,,18,,,,,Whitby,Porirua,18,Transom Close,"18 Transom Close, Whitby, Porirua",99026,174.88269803,-41.11552228,,,Whitby,Porirua,Transom Close,"18 Transom Close, Whitby, Porirua",174.8826980333,-41.1155222833
POINT (174.9003513167 -41.1192583167),1596914,1375943,Road,,16,,,,,Whitby,Porirua,16,Semaphore Lane,"16 Semaphore Lane, Whitby, Porirua",344614,174.90035132,-41.11925832,,,Whitby,Porirua,Semaphore Lane,"16 Semaphore Lane, Whitby, Porirua",174.9003513167,-41.1192583167
POINT (174.91097205 -41.1175174167),1627525,1395904,Road,,77,,,,,Whitby,Porirua,77,Endeavour Drive,"77 Endeavour Drive, Whitby, Porirua",361831,174.91097205,-41.11751742,,,Whitby,Porirua,Endeavour Drive,"77 Endeavour Drive, Whitby, Porirua",174.91097205,-41.1175174167
