WKT,address_id,change_id,address_type,unit_value,address_number,address_number_suffix,address_number_high,water_route_name,water_name,suburb_locality,town_city,full_address_number,full_road_name,full_address,road_section_id,gd2000_xcoord,gd2000_ycoord,water_route_name_ascii,water_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (174.7317600667 -41.2891311333),1669857,1423846,Road,,33,,,,,Karori,Wellington,33,Burrows Avenue,"33 Burrows Avenue, Karori, Wellington",95092,174.73176007,-41.28913113,,,Karori,Wellington,Burrows Avenue,"33 Burrows Avenue, Karori, Wellington",174.7317600667,-41.2891311333
POINT (174.723216 -41.2897203333),1696414,1440731,Road,,20,,,,,Karori,Wellington,20,South Karori Road,"20 South Karori Road, Karori, Wellington",98408,174.72321600,-41.28972033,,,Karori,Wellington,South Karori Road,"20 South Karori Road, Karori, Wellington",174.723216,-41.2897203333
POINT (174.72645815 -41.2900131833),1701504,1444376,Road,,12,,,,,Karori,Wellington,12,Parklands Drive,"12 Parklands Drive, Karori, Wellington",79389,174.72645815,-41.29001318,,,Karori,Wellington,Parklands Drive,"12 Parklands Drive, Karori, Wellington",174.72645815,-41.2900131833
POINT (174.7206999167 -41.29091545),344441,305532,Road,,18,,,,,Karori,Wellington,18,Hathaway Avenue,"18 Hathaway Avenue, Karori, Wellington",76800,174.72069992,-41.29091545,,,Karori,Wellington,Hathaway Avenue,"18 Hathaway Avenue, Karori, Wellington",174.7206999167,-41.29091545
POINT (174.7207898667 -41.2937858667),344781,305856,Road,,64,,,,,Karori,Wellington,64,Hathaway Avenue,"64 Hathaway Avenue, Karori, Wellington",98079,174.72078987,-41.29378587,,,Karori,Wellington,Hathaway Avenue,"64 Hathaway Avenue, Karori, Wellington",174.7207898667,-41.2937858667
POINT (174.7185190333 -41.2909488167),344829,305902,Road,,74,,,,,Karori,Wellington,74,Allington Road,"74 Allington Road, Karori, Wellington",76155,174.71851903,-41.29094882,,,Karori,Wellington,Allington Road,"74 Allington Road, Karori, Wellington",174.7185190333,-41.2909488167
POINT (174.7177748667 -41.28835235),344911,305983,Road,,93,,,,,Karori,Wellington,93,Thurleigh Grove,"93 Thurleigh Grove, Karori, Wellington",90881,174.71777487,-41.28835235,,,Karori,Wellington,Thurleigh Grove,"93 Thurleigh Grove, Karori, Wellington",174.7177748667,-41.28835235
POINT (174.7290841333 -41.2816300333),345135,306200,Road,,14,,,,,Karori,Wellington,14,Victory Avenue,"14 Victory Avenue, Karori, Wellington",80995,174.72908413,-41.28163003,,,Karori,Wellington,Victory Avenue,"14 Victory Avenue, Karori, Wellington",174.7290841333,-41.2816300333
POINT (174.7274218667 -41.2806068167),345157,306222,Road,,16,,,,,Karori,Wellington,16,Caldwell Street,"16 Caldwell Street, Karori, Wellington",81003,174.72742187,-41.28060682,,,Karori,Wellington,Caldwell Street,"16 Caldwell Street, Karori, Wellington",174.7274218667,-41.2806068167
POINT (174.7302727833 -41.2795490667),345386,306439,Road,,53,,,,,Karori,Wellington,53,Montgomery Avenue,"53 Montgomery Avenue, Karori, Wellington",97742,174.73027278,-41.27954907,,,Karori,Wellington,Montgomery Avenue,"53 Montgomery Avenue, Karori, Wellington",174.7302727833,-41.2795490667
POINT (174.7299574667 -41.2882855167),345715,306757,Road,,20,,,,,Karori,Wellington,20,Richmond Avenue,"20 Richmond Avenue, Karori, Wellington",95095,174.72995747,-41.28828552,,,Karori,Wellington,Richmond Avenue,"20 Richmond Avenue, Karori, Wellington",174.7299574667,-41.2882855167
POINT (174.7256328667 -41.29215585),346044,307062,Road,,64,,,,,Karori,Wellington,64,Woodhouse Avenue,"64 Woodhouse Avenue, Karori, Wellington",95037,174.72563287,-41.29215585,,,Karori,Wellington,Woodhouse Avenue,"64 Woodhouse Avenue, Karori, Wellington",174.7256328667,-41.29215585
POINT (174.72839205 -41.2891971333),346049,307067,Road,,66,,,,,Karori,Wellington,66,Collier Avenue,"66 Collier Avenue, Karori, Wellington",95040,174.72839205,-41.28919713,,,Karori,Wellington,Collier Avenue,"66 Collier Avenue, Karori, Wellington",174.72839205,-41.2891971333
POINT (174.7313650667 -41.2873546167),346146,307158,Road,,9,,,,,Karori,Wellington,9,Burrows Avenue,"9 Burrows Avenue, Karori, Wellington",73840,174.73136507,-41.28735462,,,Karori,Wellington,Burrows Avenue,"9 Burrows Avenue, Karori, Wellington",174.7313650667,-41.2873546167
POINT (174.7363391 -41.284537),346489,307470,Road,,278,,,,,Karori,Wellington,278,Karori Road,"278 Karori Road, Karori, Wellington",79911,174.73633910,-41.28453700,,,Karori,Wellington,Karori Road,"278 Karori Road, Karori, Wellington",174.7363391,-41.284537
POINT (174.7381835667 -41.28222245),346691,307645,Road,,66,,,,,Karori,Wellington,66,Friend Street,"66 Friend Street, Karori, Wellington",291154,174.73818357,-41.28222245,,,Karori,Wellington,Friend Street,"66 Friend Street, Karori, Wellington",174.7381835667,-41.28222245
POINT (174.7412415167 -41.28286585),346702,307655,Road,,6,,,,,Karori,Wellington,6,Newcombe Crescent,"6 Newcombe Crescent, Karori, Wellington",71610,174.74124152,-41.28286585,,,Karori,Wellington,Newcombe Crescent,"6 Newcombe Crescent, Karori, Wellington",174.7412415167,-41.28286585
POINT (174.7355908 -41.28456485),346771,307723,Road,,8,,,,,Karori,Wellington,8,Chamberlain Road,"8 Chamberlain Road, Karori, Wellington",94430,174.73559080,-41.28456485,,,Karori,Wellington,Chamberlain Road,"8 Chamberlain Road, Karori, Wellington",174.7355908,-41.28456485
POINT (174.7353689167 -41.2863696833),346828,307776,Road,,10,,,,,Karori,Wellington,10,Monaghan Avenue,"10 Monaghan Avenue, Karori, Wellington",95752,174.73536892,-41.28636968,,,Karori,Wellington,Monaghan Avenue,"10 Monaghan Avenue, Karori, Wellington",174.7353689167,-41.2863696833
POINT (174.7445887833 -41.2947480167),346945,307886,Road,,150,,,,,Karori,Wellington,150,Campbell Street,"150 Campbell Street, Karori, Wellington",90912,174.74458878,-41.29474802,,,Karori,Wellington,Campbell Street,"150 Campbell Street, Karori, Wellington",174.7445887833,-41.2947480167
POINT (174.7421828667 -41.2877071667),347009,307947,Road,,18,,,,,Karori,Wellington,18,Firth Terrace,"18 Firth Terrace, Karori, Wellington",92786,174.74218287,-41.28770717,,,Karori,Wellington,Firth Terrace,"18 Firth Terrace, Karori, Wellington",174.7421828667,-41.2877071667
POINT (174.7359205833 -41.2867110333),347058,307993,Road,,21,,,,,Karori,Wellington,21,Monaghan Avenue,"21 Monaghan Avenue, Karori, Wellington",95752,174.73592058,-41.28671103,,,Karori,Wellington,Monaghan Avenue,"21 Monaghan Avenue, Karori, Wellington",174.7359205833,-41.2867110333
