full_address,estimate_date,estimate_value,estimate_range,link
"56 Mandalay Terrace, Khandallah, Wellington",1/01/1970,$785K,$755K - $815K,https://www.homes.co.nz/address/wellington/khandallah/56-mandalay-terrace/LDeXo
"23 Waru Street, Khandallah, Wellington",1/01/1970,$1.75M,$1.65M - $1.84M,https://www.homes.co.nz/address/wellington/khandallah/23-waru-street/alo8n
"11 Punjab Street, Khandallah, Wellington",5/06/2008,$1.3M,$1.23M - $1.37M,https://www.homes.co.nz/address/wellington/khandallah/11-punjab-street/LDV8K
"10 Chella Way, Khandallah, Wellington",27/11/2009,$1.37M,$1.3M - $1.45M,https://www.homes.co.nz/address/wellington/khandallah/10-chella-way/vyazr
"40 Rama Crescent, Khandallah, Wellington",20/12/2016,$1.78M,$1.68M - $1.89M,https://www.homes.co.nz/address/wellington/khandallah/40-rama-crescent/MkYl5
"16 Delhi Crescent, Khandallah, Wellington",30/05/1999,$1.46M,$1.38M - $1.54M,https://www.homes.co.nz/address/wellington/khandallah/16-delhi-crescent/2EYA7
"69A Calcutta Street, Khandallah, Wellington",16/08/2000,$1.67M,$1.58M - $1.77M,https://www.homes.co.nz/address/wellington/khandallah/69a-calcutta-street/15gQ1
"73A Nicholson Road, Khandallah, Wellington",1/01/1970,$480K,$440K - $520K,https://www.homes.co.nz/address/wellington/khandallah/73a-nicholson-road/lXVln
"41 Ranui Crescent, Khandallah, Wellington",10/10/2007,$1.12M,$1.05M - $1.18M,https://www.homes.co.nz/address/wellington/khandallah/41-ranui-crescent/bLwgb
"9 Izard Road, Khandallah, Wellington",7/02/2005,$1.93M,$1.82M - $2.04M,https://www.homes.co.nz/address/wellington/khandallah/9-izard-road/ZoY7V
"101 Calcutta Street, Khandallah, Wellington",4/11/2009,$1.83M,$1.72M - $1.93M,https://www.homes.co.nz/address/wellington/khandallah/101-calcutta-street/9YjrK
"105 Calcutta Street, Khandallah, Wellington",30/07/2020,$1.05M,$990K - $1.11M,https://www.homes.co.nz/address/wellington/khandallah/105-calcutta-street/OgQx1
"33 Benares Street, Khandallah, Wellington",9/11/2011,$1.08M,$1.02M - $1.14M,https://www.homes.co.nz/address/wellington/khandallah/33-benares-street/4EQn8
"9/33 Box Hill, Khandallah, Wellington",28/01/2014,$1.41M,$1.33M - $1.49M,https://www.homes.co.nz/address/wellington/khandallah/9-33-box-hill/PaPRw
"43B Clark Street, Khandallah, Wellington",24/10/2013,$2.05M,$1.94M - $2.17M,https://www.homes.co.nz/address/wellington/khandallah/43b-clark-street/vyWEG
"13 Gurkha Crescent, Khandallah, Wellington",24/03/2012,$1.31M,$1.23M - $1.38M,https://www.homes.co.nz/address/wellington/khandallah/13-gurkha-crescent/zOyz5
"16 Narbada Crescent, Khandallah, Wellington",27/11/2001,$1.52M,$1.43M - $1.61M,https://www.homes.co.nz/address/wellington/khandallah/16-narbada-crescent/NXxJM
"92 Homebush Road, Khandallah, Wellington",16/10/2000,$1.45M,$1.37M - $1.53M,https://www.homes.co.nz/address/wellington/khandallah/92-homebush-road/lX17e
"9C Dekka Street, Khandallah, Wellington",10/01/1997,$960K,$920K - $995K,https://www.homes.co.nz/address/wellington/khandallah/9c-dekka-street/zOVpp
"26 Amapur Drive, Khandallah, Wellington",1/09/1998,$1.3M,$1.23M - $1.37M,https://www.homes.co.nz/address/wellington/khandallah/26-amapur-drive/BlQYO
