WKT,address_id,change_id,address_type,unit_value,address_number,address_number_suffix,address_number_high,water_route_name,water_name,suburb_locality,town_city,full_address_number,full_road_name,full_address,road_section_id,gd2000_xcoord,gd2000_ycoord,water_route_name_ascii,water_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (174.786694787426 -41.2488130660722),370517,2579406,Road,,60,A,,,,Khandallah,Wellington,60A,Cockayne Road,"60A Cockayne Road, Khandallah, Wellington",100676,174.78669479,-41.24881307,,,Khandallah,Wellington,Cockayne Road,"60A Cockayne Road, Khandallah, Wellington",174.786694787426,-41.2488130660722
POINT (174.7806639833 -41.2439755),361286,2766753,Road,,10,,,,,Khandallah,Wellington,10,Malda Grove,"10 Malda Grove, Khandallah, Wellington",97323,174.78066398,-41.24397550,,,Khandallah,Wellington,Malda Grove,"10 Malda Grove, Khandallah, Wellington",174.7806639833,-41.2439755
POINT (174.7804195333 -41.2441282333),361293,2766780,Road,,11,,,,,Khandallah,Wellington,11,Malda Grove,"11 Malda Grove, Khandallah, Wellington",97323,174.78041953,-41.24412823,,,Khandallah,Wellington,Malda Grove,"11 Malda Grove, Khandallah, Wellington",174.7804195333,-41.2441282333
POINT (174.7789525667 -41.2433073167),361306,2766708,Road,,15,,,,,Khandallah,Wellington,15,Satara Crescent,"15 Satara Crescent, Khandallah, Wellington",75969,174.77895257,-41.24330732,,,Khandallah,Wellington,Satara Crescent,"15 Satara Crescent, Khandallah, Wellington",174.7789525667,-41.2433073167
POINT (174.7787198333 -41.2431171667),361336,2766709,Road,,22,,,,,Khandallah,Wellington,22,Satara Crescent,"22 Satara Crescent, Khandallah, Wellington",75969,174.77871983,-41.24311717,,,Khandallah,Wellington,Satara Crescent,"22 Satara Crescent, Khandallah, Wellington",174.7787198333,-41.2431171667
POINT (174.7781972 -41.2430605667),361347,2766695,Road,,26,,,,,Khandallah,Wellington,26,Satara Crescent,"26 Satara Crescent, Khandallah, Wellington",93923,174.77819720,-41.24306057,,,Khandallah,Wellington,Satara Crescent,"26 Satara Crescent, Khandallah, Wellington",174.7781972,-41.2430605667
POINT (174.7802427667 -41.2430158167),361388,2766697,Road,,3,,,,,Khandallah,Wellington,3,Satara Crescent,"3 Satara Crescent, Khandallah, Wellington",93944,174.78024277,-41.24301582,,,Khandallah,Wellington,Satara Crescent,"3 Satara Crescent, Khandallah, Wellington",174.7802427667,-41.2430158167
POINT (174.7803690167 -41.2425860667),361419,2766712,Road,,4,,,,,Khandallah,Wellington,4,Andaman Grove,"4 Andaman Grove, Khandallah, Wellington",85278,174.78036902,-41.24258607,,,Khandallah,Wellington,Andaman Grove,"4 Andaman Grove, Khandallah, Wellington",174.7803690167,-41.2425860667
POINT (174.7802285333 -41.2436084),361441,2766783,Road,,59,,,,,Khandallah,Wellington,59,Amapur Drive,"59 Amapur Drive, Khandallah, Wellington",71511,174.78022853,-41.24360840,,,Khandallah,Wellington,Amapur Drive,"59 Amapur Drive, Khandallah, Wellington",174.7802285333,-41.2436084
POINT (174.7778013833 -41.2436078167),361443,2766699,Road,,5,,,,,Khandallah,Wellington,5,Gavaskar Place,"5 Gavaskar Place, Khandallah, Wellington",74069,174.77780138,-41.24360782,,,Khandallah,Wellington,Gavaskar Place,"5 Gavaskar Place, Khandallah, Wellington",174.7778013833,-41.2436078167
POINT (174.7798926 -41.2438152333),361456,2766766,Road,,63,,,,,Khandallah,Wellington,63,Amapur Drive,"63 Amapur Drive, Khandallah, Wellington",71511,174.77989260,-41.24381523,,,Khandallah,Wellington,Amapur Drive,"63 Amapur Drive, Khandallah, Wellington",174.7798926,-41.2438152333
POINT (174.7796642333 -41.2436656),361505,2766726,Road,,82,,,,,Khandallah,Wellington,82,Amapur Drive,"82 Amapur Drive, Khandallah, Wellington",71511,174.77966423,-41.24366560,,,Khandallah,Wellington,Amapur Drive,"82 Amapur Drive, Khandallah, Wellington",174.7796642333,-41.2436656
POINT (174.77955975 -41.2437579),361507,2766743,Road,,84,,,,,Khandallah,Wellington,84,Amapur Drive,"84 Amapur Drive, Khandallah, Wellington",71511,174.77955975,-41.24375790,,,Khandallah,Wellington,Amapur Drive,"84 Amapur Drive, Khandallah, Wellington",174.77955975,-41.2437579
POINT (174.7807372667 -41.2439003833),361513,2766779,Road,,8,A,,,,Khandallah,Wellington,8A,Malda Grove,"8A Malda Grove, Khandallah, Wellington",97323,174.78073727,-41.24390038,,,Khandallah,Wellington,Malda Grove,"8A Malda Grove, Khandallah, Wellington",174.7807372667,-41.2439003833
POINT (174.7892694667 -41.25063435),369935,2774431,Road,,14,A,,,,Khandallah,Wellington,14A,Indira Place,"14A Indira Place, Khandallah, Wellington",95991,174.78926947,-41.25063435,,,Khandallah,Wellington,Indira Place,"14A Indira Place, Khandallah, Wellington",174.7892694667,-41.25063435
POINT (174.7901249833 -41.2494572333),369995,2774434,Road,,17,A,,,,Khandallah,Wellington,17A,Torwood Road,"17A Torwood Road, Khandallah, Wellington",98433,174.79012498,-41.24945723,,,Khandallah,Wellington,Torwood Road,"17A Torwood Road, Khandallah, Wellington",174.7901249833,-41.2494572333
POINT (174.7898964667 -41.2496047167),370077,2774438,Road,,21,,,,,Khandallah,Wellington,21,Torwood Road,"21 Torwood Road, Khandallah, Wellington",98433,174.78989647,-41.24960472,,,Khandallah,Wellington,Torwood Road,"21 Torwood Road, Khandallah, Wellington",174.7898964667,-41.2496047167
POINT (174.7885331167 -41.2494543333),370158,2774467,Road,,29,,,,,Khandallah,Wellington,29,Clutha Avenue,"29 Clutha Avenue, Khandallah, Wellington",96050,174.78853312,-41.24945433,,,Khandallah,Wellington,Clutha Avenue,"29 Clutha Avenue, Khandallah, Wellington",174.7885331167,-41.2494543333
POINT (174.78862635 -41.2500058833),370180,2774498,Road,,30,,,,,Khandallah,Wellington,30,Torwood Road,"30 Torwood Road, Khandallah, Wellington",88669,174.78862635,-41.25000588,,,Khandallah,Wellington,Torwood Road,"30 Torwood Road, Khandallah, Wellington",174.78862635,-41.2500058833
POINT (174.7909832667 -41.2485802333),370264,2774449,Road,,36,,,,,Khandallah,Wellington,36,Nicholson Road,"36 Nicholson Road, Khandallah, Wellington",99737,174.79098327,-41.24858023,,,Khandallah,Wellington,Nicholson Road,"36 Nicholson Road, Khandallah, Wellington",174.7909832667,-41.2485802333
POINT (174.7876905 -41.2490272667),370291,2774483,Road,,39,B,,,,Khandallah,Wellington,39B,Clutha Avenue,"39B Clutha Avenue, Khandallah, Wellington",96050,174.78769050,-41.24902727,,,Khandallah,Wellington,Clutha Avenue,"39B Clutha Avenue, Khandallah, Wellington",174.7876905,-41.2490272667
POINT (174.7893735667 -41.2498290667),370314,2774451,Road,,3,,,,,Khandallah,Wellington,3,Indira Place,"3 Indira Place, Khandallah, Wellington",95991,174.78937357,-41.24982907,,,Khandallah,Wellington,Indira Place,"3 Indira Place, Khandallah, Wellington",174.7893735667,-41.2498290667
POINT (174.79068465 -41.24897545),370350,2774422,Road,,42,,,,,Khandallah,Wellington,42,Nicholson Road,"42 Nicholson Road, Khandallah, Wellington",99737,174.79068465,-41.24897545,,,Khandallah,Wellington,Nicholson Road,"42 Nicholson Road, Khandallah, Wellington",174.79068465,-41.24897545
POINT (174.7875768833 -41.2490018167),370354,2774485,Road,,43,A,,,,Khandallah,Wellington,43A,Clutha Avenue,"43A Clutha Avenue, Khandallah, Wellington",96050,174.78757688,-41.24900182,,,Khandallah,Wellington,Clutha Avenue,"43A Clutha Avenue, Khandallah, Wellington",174.7875768833,-41.2490018167
POINT (174.7872308333 -41.2486085833),370414,2774503,Road,,49,,,,,Khandallah,Wellington,49,Clutha Avenue,"49 Clutha Avenue, Khandallah, Wellington",96050,174.78723083,-41.24860858,,,Khandallah,Wellington,Clutha Avenue,"49 Clutha Avenue, Khandallah, Wellington",174.7872308333,-41.2486085833
POINT (174.7905516833 -41.2502649667),370462,2774436,Road,,54,A,,,,Khandallah,Wellington,54A,Nicholson Road,"54A Nicholson Road, Khandallah, Wellington",75616,174.79055168,-41.25026497,,,Khandallah,Wellington,Nicholson Road,"54A Nicholson Road, Khandallah, Wellington",174.7905516833,-41.2502649667
POINT (174.7903652667 -41.2502517167),370465,2774452,Road,,54,,,,,Khandallah,Wellington,54,Nicholson Road,"54 Nicholson Road, Khandallah, Wellington",75616,174.79036527,-41.25025172,,,Khandallah,Wellington,Nicholson Road,"54 Nicholson Road, Khandallah, Wellington",174.7903652667,-41.2502517167
POINT (174.7870611333 -41.2487644167),370482,2774477,Road,,57,,,,,Khandallah,Wellington,57,Cockayne Road,"57 Cockayne Road, Khandallah, Wellington",100676,174.78706113,-41.24876442,,,Khandallah,Wellington,Cockayne Road,"57 Cockayne Road, Khandallah, Wellington",174.7870611333,-41.2487644167
