WKT,address_id,change_id,address_type,unit_value,address_number,address_number_suffix,address_number_high,water_route_name,water_name,suburb_locality,town_city,full_address_number,full_road_name,full_address,road_section_id,gd2000_xcoord,gd2000_ycoord,water_route_name_ascii,water_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (174.6744286667 -36.58504295),2005267,3173264,Road,,48,,,,,Orewa,Orewa,48,Harvest Avenue,"48 Harvest Avenue, Orewa",385340,174.67442867,-36.58504295,,,Orewa,Orewa,Harvest Avenue,"48 Harvest Avenue, Orewa",174.6744286667,-36.58504295
POINT (174.6762362833 -36.5863895333),2005322,3173180,Road,,11,,,,,Orewa,Orewa,11,Taraire Place,"11 Taraire Place, Orewa",375790,174.67623628,-36.58638953,,,Orewa,Orewa,Taraire Place,"11 Taraire Place, Orewa",174.6762362833,-36.5863895333
POINT (174.67503095 -36.5854228833),2005331,3173257,Road,,2,,,,,Orewa,Orewa,2,Ascension Crescent,"2 Ascension Crescent, Orewa",375788,174.67503095,-36.58542288,,,Orewa,Orewa,Ascension Crescent,"2 Ascension Crescent, Orewa",174.67503095,-36.5854228833
POINT (174.69457095 -36.5862416),2085432,3208490,Road,,3,D,,,,Orewa,Orewa,3D,Moana Avenue,"3D Moana Avenue, Orewa",201723,174.69457095,-36.58624160,,,Orewa,Orewa,Moana Avenue,"3D Moana Avenue, Orewa",174.69457095,-36.5862416
POINT (174.693316 -36.584215),1484038,3207895,Road,,9,,,,,Orewa,Orewa,9,Alice Avenue,"9 Alice Avenue, Orewa",162857,174.69331600,-36.58421500,,,Orewa,Orewa,Alice Avenue,"9 Alice Avenue, Orewa",174.693316,-36.584215
POINT (174.693478 -36.584587),1484434,3207918,Road,,5,,,,,Orewa,Orewa,5,Alice Avenue,"5 Alice Avenue, Orewa",162857,174.69347800,-36.58458700,,,Orewa,Orewa,Alice Avenue,"5 Alice Avenue, Orewa",174.693478,-36.584587
POINT (174.6925099833 -36.5822900167),1487552,3207896,Road,,29,,,,,Orewa,Orewa,29,Alice Avenue,"29 Alice Avenue, Orewa",191493,174.69250998,-36.58229002,,,Orewa,Orewa,Alice Avenue,"29 Alice Avenue, Orewa",174.6925099833,-36.5822900167
POINT (174.6924310167 -36.585327),1488428,3208500,Road,,41,,,,,Orewa,Orewa,41,Florence Avenue,"41 Florence Avenue, Orewa",191497,174.69243102,-36.58532700,,,Orewa,Orewa,Florence Avenue,"41 Florence Avenue, Orewa",174.6924310167,-36.585327
POINT (174.69256 -36.585915),1492832,3208402,Road,,3,,,,,Orewa,Orewa,3,George Lowe Place,"3 George Lowe Place, Orewa",196719,174.69256000,-36.58591500,,,Orewa,Orewa,George Lowe Place,"3 George Lowe Place, Orewa",174.69256,-36.585915
POINT (174.69143 -36.585164),1495379,3208502,Road,,117,,,,,Orewa,Orewa,117,Centreway Road,"117 Centreway Road, Orewa",191501,174.69143000,-36.58516400,,,Orewa,Orewa,Centreway Road,"117 Centreway Road, Orewa",174.69143,-36.585164
POINT (174.694661 -36.586416),1498048,3208406,Road,,3,,,,,Orewa,Orewa,3,Moana Avenue,"3 Moana Avenue, Orewa",201723,174.69466100,-36.58641600,,,Orewa,Orewa,Moana Avenue,"3 Moana Avenue, Orewa",174.694661,-36.586416
POINT (174.693572 -36.584324),1503359,3207916,Road,2,7,,,,,Orewa,Orewa,2/7,Alice Avenue,"2/7 Alice Avenue, Orewa",162857,174.69357200,-36.58432400,,,Orewa,Orewa,Alice Avenue,"2/7 Alice Avenue, Orewa",174.693572,-36.584324
POINT (174.6925282167 -36.5821028333),1504357,3207936,Road,2,31,,,,,Orewa,Orewa,2/31,Alice Avenue,"2/31 Alice Avenue, Orewa",191493,174.69252822,-36.58210283,,,Orewa,Orewa,Alice Avenue,"2/31 Alice Avenue, Orewa",174.6925282167,-36.5821028333
POINT (174.69348 -36.585762),1506078,3208413,Road,,24,,,,,Orewa,Orewa,24,Hillary Square,"24 Hillary Square, Orewa",322075,174.69348000,-36.58576200,,,Orewa,Orewa,Hillary Square,"24 Hillary Square, Orewa",174.69348,-36.585762
POINT (174.695278 -36.584864),1520513,3207229,Road,,327,,,,,Orewa,Orewa,327,Hibiscus Coast Highway,"327 Hibiscus Coast Highway, Orewa",322073,174.69527800,-36.58486400,,,Orewa,Orewa,Hibiscus Coast Highway,"327 Hibiscus Coast Highway, Orewa",174.695278,-36.584864
POINT (174.67633965 -36.5833213333),1991704,3173144,Road,,58,,,,,Orewa,Orewa,58,Ascension Crescent,"58 Ascension Crescent, Orewa",378304,174.67633965,-36.58332133,,,Orewa,Orewa,Ascension Crescent,"58 Ascension Crescent, Orewa",174.67633965,-36.5833213333
POINT (174.6776183 -36.5838671667),1991716,3173148,Road,,19,,,,,Orewa,Orewa,19,Manawanui Way,"19 Manawanui Way, Orewa",378307,174.67761830,-36.58386717,,,Orewa,Orewa,Manawanui Way,"19 Manawanui Way, Orewa",174.6776183,-36.5838671667
POINT (174.6769523167 -36.5845323667),2005299,3173164,Road,,23,,,,,Orewa,Orewa,23,Ascension Crescent,"23 Ascension Crescent, Orewa",382786,174.67695232,-36.58453237,,,Orewa,Orewa,Ascension Crescent,"23 Ascension Crescent, Orewa",174.6769523167,-36.5845323667
POINT (174.6762317167 -36.5849333833),2005305,3173247,Road,,11,,,,,Orewa,Orewa,11,Ascension Crescent,"11 Ascension Crescent, Orewa",382786,174.67623172,-36.58493338,,,Orewa,Orewa,Ascension Crescent,"11 Ascension Crescent, Orewa",174.6762317167,-36.5849333833
POINT (174.6753127 -36.5853931833),2005330,3173186,Road,,4,,,,,Orewa,Orewa,4,Ascension Crescent,"4 Ascension Crescent, Orewa",375788,174.67531270,-36.58539318,,,Orewa,Orewa,Ascension Crescent,"4 Ascension Crescent, Orewa",174.6753127,-36.5853931833
POINT (174.6737647167 -36.5858068667),2005340,3173273,Road,,70,,,,,Orewa,Orewa,70,Harvest Avenue,"70 Harvest Avenue, Orewa",385341,174.67376472,-36.58580687,,,Orewa,Orewa,Harvest Avenue,"70 Harvest Avenue, Orewa",174.6737647167,-36.5858068667
POINT (174.69457095 -36.5862416),2085434,3208492,Road,,3,F,,,,Orewa,Orewa,3F,Moana Avenue,"3F Moana Avenue, Orewa",201723,174.69457095,-36.58624160,,,Orewa,Orewa,Moana Avenue,"3F Moana Avenue, Orewa",174.69457095,-36.5862416
POINT (174.693385 -36.586834),1484559,3208438,Road,,13,,,,,Orewa,Orewa,13,Moana Avenue,"13 Moana Avenue, Orewa",201726,174.69338500,-36.58683400,,,Orewa,Orewa,Moana Avenue,"13 Moana Avenue, Orewa",174.693385,-36.586834
POINT (174.692861 -36.585712),1490050,3208461,Road,,2,,4,,,Orewa,Orewa,2-4,George Lowe Place,"2-4 George Lowe Place, Orewa",196719,174.69286100,-36.58571200,,,Orewa,Orewa,George Lowe Place,"2-4 George Lowe Place, Orewa",174.692861,-36.585712
POINT (174.691773 -36.585949),1492340,3208399,Road,,109,,,,,Orewa,Orewa,109,Centreway Road,"109 Centreway Road, Orewa",161434,174.69177300,-36.58594900,,,Orewa,Orewa,Centreway Road,"109 Centreway Road, Orewa",174.691773,-36.585949
